"date","construction_category","realestate_category_name","listings_lower_price","listings","average_lower_counter","listing_days","listings_lower_than_first_price","average_lower_price"
"2025-11-18T00:00:00Z","new","Fjölbýli","112","963","0.31152647975077881620","297.3219106957424714","103","0.95922329392859471848"
"2025-11-18T00:00:00Z","new","Sérbýli","7","29","0.37931034482758620690","152.2413793103448276","7","0.95424940661970068169"
"2025-11-18T00:00:00Z","old","Fjölbýli","449","1723","0.38305281485780615206","125.4695298897272200","431","0.95941586366402017474"
"2025-11-18T00:00:00Z","old","Sérbýli","82","368","0.31250000000000000000","95.8750000000000000","79","0.95742612180852822827"
"2025-11-17T00:00:00Z","new","Fjölbýli","112","965","0.31055900621118012422","295.6718426501035197","103","0.95922329392859471848"
"2025-11-17T00:00:00Z","new","Sérbýli","7","29","0.37931034482758620690","151.2413793103448276","7","0.95424940661970068169"
"2025-11-17T00:00:00Z","old","Fjölbýli","447","1736","0.37708693149107656880","124.4599884858952216","430","0.95972146814404634724"
"2025-11-17T00:00:00Z","old","Sérbýli","81","371","0.30458221024258760108","95.0296495956873315","77","0.95762174458042620912"
"2025-11-16T00:00:00Z","new","Fjölbýli","112","966","0.30920372285418821096","294.4560496380558428","103","0.95959503341672152583"
"2025-11-16T00:00:00Z","new","Sérbýli","7","29","0.37931034482758620690","150.2413793103448276","7","0.95424940661970068169"
"2025-11-16T00:00:00Z","old","Fjölbýli","446","1725","0.37855072463768115942","124.4324637681159420","428","0.95974456238627453805"
"2025-11-16T00:00:00Z","old","Sérbýli","82","372","0.30645161290322580645","94.4274193548387097","79","0.95801949837861076241"
"2025-11-15T00:00:00Z","new","Fjölbýli","112","965","0.30952380952380952381","293.7608695652173913","103","0.95922329392859471848"
"2025-11-15T00:00:00Z","new","Sérbýli","7","29","0.37931034482758620690","149.2413793103448276","7","0.95424940661970068169"
"2025-11-15T00:00:00Z","old","Fjölbýli","447","1730","0.37745664739884393064","123.2994219653179191","430","0.95977363483780691867"
"2025-11-15T00:00:00Z","old","Sérbýli","81","371","0.30458221024258760108","93.6819407008086253","78","0.95795122047020892070"
"2025-11-14T00:00:00Z","new","Fjölbýli","115","969","0.31340206185567010309","292.7061855670103093","106","0.95906762705527820412"
"2025-11-14T00:00:00Z","new","Sérbýli","8","29","0.40000000000000000000","144.2333333333333333","8","0.95768830257712605883"
"2025-11-14T00:00:00Z","old","Fjölbýli","456","1746","0.37857961053837342497","123.5973654066437572","438","0.95965080185700349541"
"2025-11-14T00:00:00Z","old","Sérbýli","81","374","0.29946524064171122995","92.2700534759358289","77","0.95795122047020892070"
"2025-11-13T00:00:00Z","new","Fjölbýli","116","970","0.31378600823045267490","292.1893004115226337","107","0.95942418972176193428"
"2025-11-13T00:00:00Z","new","Sérbýli","7","29","0.37931034482758620690","147.2413793103448276","7","0.95424940661970068169"
"2025-11-13T00:00:00Z","old","Fjölbýli","407","1753","0.35025670279520821449","123.9908727895037079","390","0.95945209655223140761"
"2025-11-13T00:00:00Z","old","Sérbýli","80","370","0.30000000000000000000","93.3513513513513514","76","0.95763146626303646932"
"2025-11-12T00:00:00Z","new","Fjölbýli","117","973","0.31519507186858316222","290.8655030800821355","108","0.95906463570800003397"
"2025-11-12T00:00:00Z","new","Sérbýli","7","29","0.37931034482758620690","146.2413793103448276","7","0.95424940661970068169"
"2025-11-12T00:00:00Z","old","Fjölbýli","402","1750","0.34742857142857142857","123.3937142857142857","385","0.95952646640659994684"
"2025-11-12T00:00:00Z","old","Sérbýli","80","370","0.30000000000000000000","93.0135135135135135","77","0.95763146626303646932"
"2025-11-11T00:00:00Z","new","Fjölbýli","117","973","0.31622176591375770021","290.3798767967145791","107","0.95881242915089369945"
"2025-11-11T00:00:00Z","new","Sérbýli","7","29","0.37931034482758620690","145.2413793103448276","7","0.95424940661970068169"
"2025-11-11T00:00:00Z","old","Fjölbýli","403","1744","0.34862385321100917431","123.5372706422018349","386","0.95983093209082878758"
"2025-11-11T00:00:00Z","old","Sérbýli","79","373","0.29490616621983914209","92.6863270777479893","76","0.95723042900481108405"
"2025-11-10T00:00:00Z","new","Fjölbýli","118","973","0.31757451181911613566","289.7512846865364851","106","0.95884637441482778918"
"2025-11-10T00:00:00Z","new","Sérbýli","7","29","0.37931034482758620690","144.2413793103448276","7","0.95424940661970068169"
"2025-11-10T00:00:00Z","old","Fjölbýli","400","1738","0.34752589182968929804","124.0701956271576525","382","0.95942729507040099104"
"2025-11-10T00:00:00Z","old","Sérbýli","79","370","0.29380053908355795148","92.4231805929919137","75","0.95723042900481108405"
"2025-11-09T00:00:00Z","new","Fjölbýli","118","973","0.31757451181911613566","288.7512846865364851","107","0.95881242915089369945"
"2025-11-09T00:00:00Z","new","Sérbýli","7","28","0.39285714285714285714","148.3928571428571429","7","0.95424940661970068169"
"2025-11-09T00:00:00Z","old","Fjölbýli","400","1726","0.34936268829663962920","124.1338354577056779","384","0.95946455889301809841"
"2025-11-09T00:00:00Z","old","Sérbýli","80","369","0.29810298102981029810","91.9783197831978320","77","0.95745856116281665156"
"2025-11-08T00:00:00Z","new","Fjölbýli","119","973","0.31860226104830421377","287.9856115107913669","108","0.95875965390219359925"
"2025-11-08T00:00:00Z","new","Sérbýli","7","28","0.39285714285714285714","147.3928571428571429","7","0.95424940661970068169"
"2025-11-08T00:00:00Z","old","Fjölbýli","401","1725","0.35052143684820393975","123.3673232908458864","385","0.95947599905769871550"
"2025-11-08T00:00:00Z","old","Sérbýli","80","370","0.29459459459459459459","90.8000000000000000","76","0.95918165338995463380"
