,date,salary_index,value_12m_change,property_index,salary,salary_yearly,property,finance_index
0,1989-01-01,100.0,,7.2857,84114.47532144337,1009373.7038573205,6533372.282608695,6.472699117919776
1,1989-02-01,100.6,,7.0544,84619.16217337204,1015429.9460804644,6325956.52173913,6.229830571923915
2,1989-03-01,101.3,,7.3241,85207.96350062214,1022495.5620074656,6567807.065217391,6.423311072688486
3,1989-04-01,102.6,,7.4491,86301.4516798009,1035617.4201576108,6679899.456521738,6.45016134964698
4,1989-05-01,105.7,,7.7821,88909.00041476566,1066908.0049771878,6978513.5869565215,6.5408765839241525
5,1989-06-01,106.3,,7.7826,89413.68726669431,1072964.2472003317,6978961.956521739,6.504375122220365
6,1989-07-01,106.8,,7.8637,89834.25964330153,1078011.1157196183,7051687.499999999,6.541386630593969
7,1989-08-01,107.0,,7.8904,90002.4885939444,1080029.8631273329,7075630.4347826075,6.551328510763973
8,1989-09-01,110.1,,7.8202,92610.03732890915,1111320.4479469098,7012679.347826086,6.310222547224378
9,1989-10-01,110.3,,7.9878,92778.26627955204,1113339.1953546247,7162972.826086955,6.43377405194594
10,1989-11-01,112.7,,8.0218,94797.01368726669,1137564.1642472004,7193461.956521739,6.323565898616469
11,1989-12-01,112.7,,8.1914,94797.01368726669,1137564.1642472004,7345548.913043478,6.457261176036168
12,1990-01-01,113.3,0.133,8.2793,95301.70053919534,1143620.4064703442,7424372.282608694,6.491990034983011
13,1990-02-01,114.7,0.1401590457256463,8.4677,96479.30319369555,1157751.6383243466,7593317.934782608,6.558676043657063
14,1990-03-01,114.7,0.13228035538005933,8.5972,96479.30319369555,1157751.6383243466,7709445.652173913,6.658980559364231
15,1990-04-01,114.7,0.11793372319688111,8.6283,96479.30319369555,1157751.6383243466,7737334.239130434,6.683069134178847
16,1990-05-01,115.0,0.08798486281929985,8.6645,96731.64661965988,1160779.7594359186,7769796.195652173,6.693600687375794
17,1990-06-01,116.6,0.09689557855126996,8.7528,98077.47822480297,1176929.7386976355,7848978.2608695645,6.669028747251362
18,1990-07-01,116.9,0.09456928838951328,8.7496,98329.8216507673,1179957.8598092077,7846108.695652172,6.649482123811474
19,1990-08-01,116.9,0.09252336448598131,8.7916,98329.8216507673,1179957.8598092077,7883771.7391304355,6.6814010971588385
20,1990-09-01,116.6,0.05903723887375123,8.8656,98077.47822480297,1176929.7386976355,7950130.434782609,6.754974552329733
21,1990-10-01,116.9,0.059836808703535915,9.0972,98329.8216507673,1179957.8598092077,8157815.217391304,6.913649627038693
22,1990-11-01,117.0,0.03815439219165917,9.226,98413.93612608875,1180967.2335130651,8273315.217391304,7.005541714125615
23,1990-12-01,120.1,0.06566104702750652,9.1652,101021.4848610535,1212257.8183326419,8218793.478260868,6.779740541962537
24,1991-01-01,120.2,0.06090026478375998,9.23,101105.59933637494,1213267.1920364993,8276902.173913043,6.821994551768977
25,1991-02-01,120.3,0.048823016564951915,9.2567,101189.71381169638,1214276.5657403565,8300845.108695652,6.836041592908898
26,1991-03-01,123.7,0.07846556233653001,9.4969,104049.60597262546,1248595.2716715056,8516241.847826088,6.820658415937551
27,1991-04-01,123.7,0.07846556233653001,9.5729,104049.60597262546,1248595.2716715056,8584394.021739129,6.875241494585451
28,1991-05-01,123.7,0.07565217391304357,9.6762,104049.60597262546,1248595.2716715056,8677027.173913043,6.949431389642402
29,1991-06-01,127.0,0.08919382504288165,9.8142,106825.38365823308,1281904.603898797,8800777.173913043,6.865391657964466
30,1991-07-01,129.2,0.10521813515825484,9.8675,108675.90211530484,1304110.825383658,8848573.369565217,6.785139113435427
31,1991-08-01,129.2,0.10521813515825484,9.9954,108675.90211530484,1304110.825383658,8963266.304347826,6.87308634349455
32,1991-09-01,129.3,0.10891938250428823,9.9225,108760.0165906263,1305120.1990875155,8897894.021739129,6.817681641859622
33,1991-10-01,127.8,0.09324208725406313,9.9243,107498.29946080463,1289979.5935296556,8899508.152173912,6.898952663137085
34,1991-11-01,127.8,0.0923076923076922,9.8094,107498.29946080463,1289979.5935296556,8796472.826086955,6.819079053815072
35,1991-12-01,127.8,0.06411323896752719,9.9299,107498.29946080463,1289979.5935296556,8904529.891304346,6.90284554574982
36,1992-01-01,127.8,0.06322795341098164,9.9096,107498.29946080463,1289979.5935296556,8886326.08695652,6.8887338462786545
37,1992-02-01,127.8,0.06234413965087282,10.1197,107498.29946080463,1289979.5935296556,9074730.97826087,7.034786460017166
38,1992-03-01,128.1,0.035569927243330524,10.1703,107750.64288676895,1293007.7146412274,9120105.97826087,7.053404148320521
39,1992-04-01,128.1,0.035569927243330524,10.1456,107750.64288676895,1293007.7146412274,9097956.521739129,7.0362739670610175
40,1992-05-01,130.0,0.05092966855295056,10.183,109348.81791787638,1312185.8150145165,9131494.56521739,6.9589950300723
41,1992-06-01,130.1,0.024409448818897506,10.1085,109432.93239319783,1313195.188718374,9064687.499999998,6.902772396574778
42,1992-07-01,130.2,0.007739938080495445,10.2887,109517.04686851926,1314204.562422231,9226279.891304348,7.020429052764241
43,1992-08-01,130.2,0.007739938080495445,10.2148,109517.04686851926,1314204.562422231,9160010.869565217,6.97000385745295
44,1992-09-01,130.3,0.007733952049497228,10.2416,109601.16134384072,1315213.9361260887,9184043.47826087,6.98292743560193
45,1992-10-01,130.4,0.020344287949921824,10.2653,109685.27581916217,1316223.3098299461,9205296.195652172,6.993719171286733
46,1992-11-01,130.4,0.020344287949921824,10.2712,109685.27581916217,1316223.3098299461,9210586.956521738,6.997738824205849
47,1992-12-01,130.7,0.022691705790297334,10.2536,109937.61924512648,1319251.4309415177,9194804.347826088,6.969713378490694
48,1993-01-01,130.7,0.022691705790297334,10.07,109937.61924512648,1319251.4309415177,9030163.043478262,6.844914344366982
49,1993-02-01,130.8,0.023474178403755985,10.3011,110021.73372044794,1320260.8046453753,9237399.456521738,6.996647498751523
50,1993-03-01,131.1,0.023419203747072626,10.263,110274.07714641227,1323288.9257569471,9203233.695652172,6.954818042014326
51,1993-04-01,131.1,0.023419203747072626,10.2952,110274.07714641227,1323288.9257569471,9232108.695652172,6.976638673501499
52,1993-05-01,131.2,0.009230769230769154,10.172,110358.1916217337,1324298.2994608043,9121630.43478261,6.88789711388781
53,1993-06-01,131.3,0.009223674096848766,10.2913,110442.30609705516,1325307.673164662,9228611.413043479,6.963372807618896
54,1993-07-01,131.3,0.0084485407066055,10.3019,110442.30609705516,1325307.673164662,9238116.847826086,6.970545055222284
55,1993-08-01,131.3,0.0084485407066055,10.0815,110442.30609705516,1325307.673164662,9040475.54347826,6.821416435242378
56,1993-09-01,131.5,0.009209516500383597,9.9436,110610.53504769804,1327326.4205723763,8916815.217391305,6.717876687443734
57,1993-10-01,131.5,0.008435582822085896,9.9246,110610.53504769804,1327326.4205723763,8899777.173913043,6.705040324651442
58,1993-11-01,131.8,0.010736196319018454,10.0141,110862.87847366238,1330354.5416839486,8980035.326086955,6.750106866038975
59,1993-12-01,131.9,0.009181331293037553,10.0241,110946.99294898383,1331363.915387806,8989002.717391305,6.751724763978559
60,1994-01-01,131.9,0.009181331293037553,10.0241,110946.99294898383,1331363.915387806,8989002.717391305,6.751724763978559
61,1994-02-01,132.0,0.00917431192660545,9.994,111031.10742430526,1332373.289091663,8962010.869565217,6.726351348333477
62,1994-03-01,132.1,0.0076277650648359785,10.2245,111115.22189962669,1333382.6627955204,9168709.239130436,6.876277527043633
63,1994-04-01,132.2,0.008390541571319465,10.1043,111199.33637494814,1334392.0364993776,9060921.195652174,6.790299213282513
64,1994-05-01,132.2,0.007621951219512146,10.004,111199.33637494814,1334392.0364993776,8970978.260869564,6.722895532563191
65,1994-06-01,133.1,0.01370906321401355,10.2145,111956.36665284113,1343476.3998340936,9159741.847826086,6.817940269704199
66,1994-07-01,133.1,0.01370906321401355,10.1243,111956.36665284113,1343476.3998340936,9078855.97826087,6.757733875624477
67,1994-08-01,133.2,0.014470677837014279,9.9539,112040.48112816257,1344485.7735379508,8926051.630434783,6.63900786911735
68,1994-09-01,133.3,0.013688212927756682,9.9238,112124.59560348403,1345495.1472418085,8899059.782608695,6.6139664649488195
69,1994-10-01,133.6,0.015969581749049278,9.8837,112376.93902944835,1348523.2683533803,8863100.54347826,6.572449101527617
70,1994-11-01,133.7,0.014415781487101542,9.8737,112461.05350476978,1349532.6420572372,8854133.15217391,6.560888470749849
71,1994-12-01,133.8,0.014404852160727843,9.9639,112545.16798009125,1350542.015761095,8935019.021739129,6.615876379605871
72,1995-01-01,133.9,0.015163002274450443,9.6732,112629.28245541269,1351551.3894649523,8674336.956521736,6.418059294035208
73,1995-02-01,134.8,0.021212121212121238,9.6231,113386.31273330568,1360635.7527996681,8629410.326086957,6.342189897870117
74,1995-03-01,136.6,0.034065102195306673,9.7634,114900.37328909164,1378804.4794690998,8755222.826086955,6.349865377183936
75,1995-04-01,137.3,0.03857791225416052,9.8536,115489.17461634177,1385870.0953961012,8836108.695652174,6.375856384379727
76,1995-05-01,138.8,0.04992435703479603,9.563,116750.89174616341,1401010.700953961,8575516.304347826,6.120949896034826
77,1995-06-01,139.6,0.04883546205860245,9.7434,117423.80754873494,1409085.6905848193,8737288.04347826,6.200678994796962
78,1995-07-01,139.7,0.04958677685950419,9.6131,117507.92202405639,1410095.0642886767,8620442.934782607,6.113377142505775
79,1995-08-01,140.3,0.05330330330330346,9.603,118012.60887598507,1416151.3065118208,8611385.869565217,6.080837428859398
80,1995-09-01,140.8,0.05626406601650413,9.7434,118433.18125259229,1421198.1750311074,8737288.04347826,6.147832298818577
81,1995-10-01,141.2,0.05688622754491024,9.6732,118769.63915387804,1425235.6698465366,8674336.956521736,6.086247446680697
82,1995-11-01,141.5,0.05833956619296932,9.6832,119021.98257984238,1428263.7909581086,8683304.347826086,6.079622267817311
83,1995-12-01,141.8,0.05979073243647237,9.4026,119274.32600580671,1431291.9120696806,8431679.347826086,5.890957167244581
