"date","realestate_category_name","listings_lower_price","listings","average_lower_counter","listing_days","listings_lower_than_first_price","average_lower_price"
"2025-11-18T00:00:00Z","Fjölbýli","561","2686","0.35740878629932985853","187.0830230826507818","534","0.95937918371441532593"
"2025-11-18T00:00:00Z","Sérbýli","89","397","0.31738035264483627204","99.9924433249370277","86","0.95718485230051600955"
"2025-11-17T00:00:00Z","Fjölbýli","559","2701","0.35331113577506474288","185.6477987421383648","533","0.95962639672888382266"
"2025-11-17T00:00:00Z","Sérbýli","88","400","0.31000000000000000000","99.1050000000000000","84","0.95736233396806270701"
"2025-11-16T00:00:00Z","Fjölbýli","558","2691","0.35364041604754829123","185.5070579494799406","531","0.95971568585486946303"
"2025-11-16T00:00:00Z","Sérbýli","89","401","0.31172069825436408978","98.4638403990024938","86","0.95773316229565556640"
"2025-11-15T00:00:00Z","Fjölbýli","559","2695","0.35311572700296735905","184.3772255192878338","533","0.95966860794673588810"
"2025-11-15T00:00:00Z","Sérbýli","88","400","0.31000000000000000000","97.7100000000000000","85","0.95766646555863136385"
"2025-11-14T00:00:00Z","Fjölbýli","571","2715","0.35530191458026509573","183.9933726067746686","544","0.95953852708209189728"
"2025-11-14T00:00:00Z","Sérbýli","89","403","0.30693069306930693069","96.1287128712871287","85","0.95792792394803702155"
"2025-11-13T00:00:00Z","Fjölbýli","523","2723","0.33724770642201834862","183.9867889908256881","497","0.95944616135720313516"
"2025-11-13T00:00:00Z","Sérbýli","87","399","0.30576441102756892231","97.2681704260651629","83","0.95736792914797134301"
"2025-11-12T00:00:00Z","Fjölbýli","519","2723","0.33590308370044052863","183.2753303964757709","493","0.95942648244092367704"
"2025-11-12T00:00:00Z","Sérbýli","87","399","0.30576441102756892231","96.8822055137844612","84","0.95736792914797134301"
"2025-11-11T00:00:00Z","Fjölbýli","520","2717","0.33701250919793966152","183.3256070640176600","493","0.95961253146040971714"
"2025-11-11T00:00:00Z","Sérbýli","86","402","0.30099502487562189055","96.4776119402985075","83","0.95699508513230236807"
"2025-11-10T00:00:00Z","Fjölbýli","518","2711","0.33677609738104020657","183.5344891184064921","488","0.95930195119450967777"
"2025-11-10T00:00:00Z","Sérbýli","86","399","0.30000000000000000000","96.1800000000000000","82","0.95699508513230236807"
"2025-11-09T00:00:00Z","Fjölbýli","518","2699","0.33790292701000370508","183.4790663208595776","491","0.95932414172287122989"
"2025-11-09T00:00:00Z","Sérbýli","87","397","0.30478589420654911839","95.9571788413098237","84","0.95720849717244397858"
"2025-11-08T00:00:00Z","Fjölbýli","520","2698","0.33901444979622082253","182.7128566135605780","493","0.95932091402403265940"
"2025-11-08T00:00:00Z","Sérbýli","87","398","0.30150753768844221106","94.7814070351758794","83","0.95879226548703984811"
"2025-11-07T00:00:00Z","Fjölbýli","526","2716","0.33946980854197349043","181.3262150220913108","498","0.95918268161138811914"
"2025-11-07T00:00:00Z","Sérbýli","86","397","0.29722921914357682620","94.4433249370277078","83","0.95881093448894439284"
"2025-11-06T00:00:00Z","Fjölbýli","528","2702","0.34344929681717246484","181.6717246484085862","501","0.95924052948279576306"
"2025-11-06T00:00:00Z","Sérbýli","86","392","0.30102040816326530612","94.7474489795918367","83","0.95868451346899231810"
"2025-11-05T00:00:00Z","Fjölbýli","526","2700","0.34259259259259259259","181.4733333333333333","500","0.95917086925797997730"
"2025-11-05T00:00:00Z","Sérbýli","87","394","0.29949238578680203046","94.7588832487309645","83","0.95849423413061383242"
"2025-11-04T00:00:00Z","Fjölbýli","535","2703","0.34591194968553459119","181.1568627450980392","507","0.95938267036835684855"
"2025-11-04T00:00:00Z","Sérbýli","85","393","0.29516539440203562341","94.4096692111959288","82","0.95893508843552636082"
"2025-11-03T00:00:00Z","Fjölbýli","534","2702","0.34406215316315205327","180.6814650388457270","505","0.95957693446379060030"
"2025-11-03T00:00:00Z","Sérbýli","85","396","0.29219143576826196474","93.4080604534005038","82","0.95893508843552636082"
"2025-11-02T00:00:00Z","Fjölbýli","534","2698","0.34469977761304670126","180.1130467012601927","507","0.95960086324368311611"
"2025-11-02T00:00:00Z","Sérbýli","85","397","0.28967254408060453401","92.3299748110831234","81","0.95893508843552636082"
"2025-11-01T00:00:00Z","Fjölbýli","535","2696","0.34569732937685459941","179.6483679525222552","508","0.95949498594261613107"
"2025-11-01T00:00:00Z","Sérbýli","85","395","0.29113924050632911392","91.7974683544303797","82","0.95893508843552636082"
"2025-10-31T00:00:00Z","Fjölbýli","538","2703","0.34504437869822485207","178.6823224852071006","511","0.95951302856695325294"
"2025-10-31T00:00:00Z","Sérbýli","84","398","0.28643216080402010050","91.9321608040201005","81","0.95918451667268600447"
"2025-10-30T00:00:00Z","Fjölbýli","538","2689","0.34696913350687988100","178.9315730754927482","512","0.95938927644436162827"
"2025-10-30T00:00:00Z","Sérbýli","84","396","0.28787878787878787879","92.5101010101010101","81","0.95918451667268600447"
"2025-10-29T00:00:00Z","Fjölbýli","543","2689","0.34856930509104422148","178.4570791527313266","516","0.95946007887472096967"
"2025-10-29T00:00:00Z","Sérbýli","84","392","0.28571428571428571429","92.5637755102040816","80","0.95967410316793211960"
"2025-10-28T00:00:00Z","Fjölbýli","544","2691","0.35265700483091787440","179.3006317354143441","518","0.95930884409650726272"
"2025-10-28T00:00:00Z","Sérbýli","83","389","0.28534704370179948586","92.3007712082262211","80","0.95967410316793211960"
"2025-10-27T00:00:00Z","Fjölbýli","539","2709","0.34809892949427833149","177.9365079365079365","511","0.95922725331794096672"
