"date","realestate_category_name","listings_lower_price","listings","average_lower_counter","listing_days","listings_lower_than_first_price","average_lower_price"
"2025-11-18T00:00:00Z","Fjölbýli","561","2686","0.35740878629932985853","187.0830230826507818","534","0.99158076251483144339"
"2025-11-18T00:00:00Z","Sérbýli","89","397","0.31738035264483627204","99.9924433249370277","86","0.99019595168620511523"
"2025-11-17T00:00:00Z","Fjölbýli","559","2701","0.35331113577506474288","185.6477987421383648","533","0.99168732097679179689"
"2025-11-17T00:00:00Z","Sérbýli","88","400","0.31000000000000000000","99.1050000000000000","84","0.99044328175146233088"
"2025-11-16T00:00:00Z","Fjölbýli","558","2691","0.35364041604754829123","185.5070579494799406","531","0.99169215445666274809"
"2025-11-16T00:00:00Z","Sérbýli","89","401","0.31172069825436408978","98.4638403990024938","86","0.99043243501821429727"
"2025-11-15T00:00:00Z","Fjölbýli","559","2695","0.35311572700296735905","184.3772255192878338","533","0.99167310896930244498"
"2025-11-15T00:00:00Z","Sérbýli","88","400","0.31000000000000000000","97.7100000000000000","85","0.99051144917693461604"
"2025-11-14T00:00:00Z","Fjölbýli","571","2715","0.35530191458026509573","183.9933726067746686","544","0.99154088002693206918"
"2025-11-14T00:00:00Z","Sérbýli","89","403","0.30693069306930693069","96.1287128712871287","85","0.99053078630169494217"
"2025-11-13T00:00:00Z","Fjölbýli","523","2723","0.33724770642201834862","183.9867889908256881","497","0.99228972507918830991"
"2025-11-13T00:00:00Z","Sérbýli","87","399","0.30576441102756892231","97.2681704260651629","83","0.99053985747663917410"
"2025-11-12T00:00:00Z","Fjölbýli","519","2723","0.33590308370044052863","183.2753303964757709","493","0.99234312995480466279"
"2025-11-12T00:00:00Z","Sérbýli","87","399","0.30576441102756892231","96.8822055137844612","84","0.99053985747663917410"
"2025-11-11T00:00:00Z","Fjölbýli","520","2717","0.33701250919793966152","183.3256070640176600","493","0.99236040474192617504"
"2025-11-11T00:00:00Z","Sérbýli","86","402","0.30099502487562189055","96.4776119402985075","83","0.99066178991444279992"
"2025-11-10T00:00:00Z","Fjölbýli","518","2711","0.33677609738104020657","183.5344891184064921","488","0.99233732049834127527"
"2025-11-10T00:00:00Z","Sérbýli","86","399","0.30000000000000000000","96.1800000000000000","82","0.99063503286548704864"
"2025-11-09T00:00:00Z","Fjölbýli","518","2699","0.33790292701000370508","183.4790663208595776","491","0.99228643912530302475"
